id,user,commentText,Labels
Ugz7LQV0ZWpuNnjBaxJ4AaABAg,Irfan Ansari,i  love potato ke prathe,2
UgxvWJ_kJL2nePTkg2N4AaABAg,Ansari Saleem,Wwaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaww,3
UgxxeUmiH9f8XOZZWr14AaABAg,deep b,Nice,3
Ugz-UPvwHMx4nSKVoCB4AaABAg,Afina Kom,Wow Amazing,3
UgzfXhbesBABQzi4-m94AaABAg,Ashesh Bhattacharjee,Thank you madam,1
Ugy_z2dIVhsLV_55_Gd4AaABAg,Mohammad Asif,nice,3
UgxaqLJOhaNOoxFtQvl4AaABAg,Arvind,Nice,3
UgzWarQy187cKMdSg6F4AaABAg,bmnatikar bm,Execllent women,4
Ugx2WzFYu7zTYpVICTB4AaABAg,bhupendra kandalkar,soo kind..,4
Ugy9Kw-hUDyhUHTp-n94AaABAg,Junaid Shaa,I canâ€™t believe she has 6.6 million subs from 2019,6
UgzdnoS7dMGulN938_p4AaABAg,kuldip singh,Nice,3
UgxDbo0qlPNw2utYEKl4AaABAg,Rakhi Shah,thanksðŸ˜Š,1
UgxKY-kAcoTF5YUECiF4AaABAg,Atira Topi,Atta flour means wheat flour?,7
Ugw4e66RcQSthO3RdNN4AaABAg,Farhad Ullah,"Paratha,Liked the kitchen design.",6
Ugy-deo0jRQmB4oLvR54AaABAg,vikrant singh,Tasty aloo paratha,2
UgzMPwWt8iwCalCJEel4AaABAg,Haroon Surti,Thanks Aunty â¤ï¸,1
UgwyvBrq9B5TgScAfnt4AaABAg,Sabina Murtaza,Superb,3
Ugygf97lHQ4Gf2QCs1l4AaABAg,supriya pandey,"Aunty aapne bahut hi acha aur bqhut simplicity ke saath explain kiya.. Aise hamare Desh me teachers ho jaye to phir kisi bacche ko tutions ki need ni ho..U are such a inspiration..
And paratha is also very good, healthy ..",4
UgxaGltVh_0xRip-7ph4AaABAg,Rashmi Tippannavar,Your instructions are really useful ma'am..,4
UgzGA3x-Nilg5kfEE8h4AaABAg,Nowsheen Fathima,ur way of explaining is best aunty ji,4
UgyksaV2ELSG6e8K-ul4AaABAg,Arif Islam,I love this word: thody se chotty thody se bady bana sakty hyn.,6
UgxTy_5_cpoSaJ1D-V54AaABAg,Serat Fatima,nisha aunty you are soooooooo humble and sweet.keep it upðŸ’ðŸ’ðŸ’ðŸ’ðŸ’ðŸ’ðŸ’ðŸ’ðŸ’ðŸ’ðŸ’ðŸ’žðŸ’•ðŸ’–ðŸ’ŸðŸ’—,4
UgwjgOUdBOrKtGB7PHt4AaABAg,Mo aman Khan,Wao,3
UgwaAfc1Fkyt0aQingp4AaABAg,THE GAMING LAB,thanks,1
UgzuNZVU4BVrUdnSXap4AaABAg,Ayub Shaikh,Awesome,3
Ugzc0KO2xCxnHKOR_194AaABAg,Helal Hossain,app mera bhahi hote toh bariya hota roj kuch na kuch naya khane ko milta,6
UgwS-aLIcpwxTO5dKBZ4AaABAg,santosh chaudhary,Nice,3
UgxXa0L4-ELMo_rH8eF4AaABAg,Pari Zaidi,Hello Nisha anti mai new hun bht mazy k pharahty bane muje  se ap ki video dhek kr thank God muje reply kijy ga nd Maine kuch or bana hu Kia likhun,6
UgwO7TMloh6Rr5TbMAx4AaABAg,Hajrah Ismail,Beshk u r great .. Blessings frm pakistan ðŸ˜,4
UgwK8dD7Jatckqi7dtt4AaABAg,rizwan khan,Madam aap thoda nail cut karo suggestion hai mera cooking karte time warna gloves wear karo,6
UgzJUGx4JLbmPGbrbFF4AaABAg,Uzma Uzma,wowðŸ˜™,3
UgwtRzePK07OwCd-Rk14AaABAg,Shivadha Sreelakshmi,Love from Kerala,6
UgyQP_DqpubzSm8OPet4AaABAg,Shanu Kuar,bhot Asha aalo vala prantha,2
UgzOOnQsM8F0XhIn0ht4AaABAg,Anuprana Halder,Vedio bohot accha laga mam..........,3
UgzIk24DmjUvmhfjICV4AaABAg,Lata Chanderi,Nice recipe & easy to cook....ðŸ‘ŒðŸ‘Œ,2
UgzB2uh6BMK_DEa71rp4AaABAg,sunshine ss,Yummy yummy super yummy ðŸ–’ðŸ–’ðŸ–’aaloo prathe ðŸ’–,2
Ugw9R3QGVp5StGUk4j94AaABAg,Online study Classes,mam mere potatoes ko mne boil krke cooker mein chod diye the 1hour after mne potatoes ko cheel ke masala banaya to masala kafi loose ho gya uske baad mne unhe choka bhi laga diya phir bhi parathe nhi bn rhe h pls bataye kya kre,7
UgxrTdLbwfPhPvVcGM94AaABAg,Beauty Tips,yummy,2
UgxOT3N829C9sHuMjcN4AaABAg,revathi swashiga,she is still young due to her cooking.,4
Ugx1sdcp0f2Y4kiON2R4AaABAg,Pinki Hooda,Very nice madam ji,3
UgyFlq8cRbAndsISPat4AaABAg,prathii 33,"Mam u are highly talented and ,ur cooking skills are extraordinaryðŸ‘ðŸ‘ðŸ‘ŒðŸ‘Œ",4
UgyytaNYCrpaOT_jUyF4AaABAg,sk Nasar TMRS DVK 8th class,Good aunty,3
UgzCFUhDDzzOVIMT87R4AaABAg,arbaz uddin,Your voice is nice,4
UgzQEelo6oTL2Q9HlPd4AaABAg,Neha Porwal,nice,3
UgxqIgR7OTax2t4X5KR4AaABAg,pradip jha,You explain very clearly and sweetly ma'am...Thank you,4
UgwCG8hJuM1pj1yQ3fZ4AaABAg,Poonam Sharma,Mam jab paratha belte hai tao sara masala corner pe aa jata h center me kuch nhi rahta,6
UgzO07TK_9b7ST1b3RV4AaABAg,hemamalini krithika,Also paratha receipe nice very niceðŸ‘ŒðŸ‘ŒðŸ‘ŒðŸ‘ŒðŸ‘ŒðŸ‘Œ,2
Ugw7tGFLHx0CIvMmLWp4AaABAg,Kazmeen Antulay,Nisha mam i tried it n it was too good...i make parathas dis way for my kids once in a week n dey enjoy it.u showed a very awesome recipe.....God bless u n ur loved ones :-),5
Ugx__OWrYJcf_9jk_0t4AaABAg,Rachana Patil,"Thanks mam 
It's very easy and yummy",5
Ugy1YJkxLz365GWZ33t4AaABAg,Padma C Seeni,Wow wow wow mouth watering,2
UgyJM2U3Rg6FVAhtKnF4AaABAg,Hamza Badar,My mom is not here so I wanted to make aloo ka paratha and this vid helped me thanks,1
UgxqlgWH3gwsxFHpOCN4AaABAg,pranav prakashan,Madam oil ka place ghee use kar sakthe he kya,7
UgzSwhj05oKcw19Qlat4AaABAg,Nandini Kulkarni,Very delicious ðŸ‘ŒðŸ‘Œ,2
Ugxyzv_J_RHCuroyPtN4AaABAg,Gujjars Singh,very good and nice recipe mam,2
UgyiE9p8wXTwFLKANLx4AaABAg,Abdul Haq Abdul Haq,Thanks aap itna Achha paratha Banai hai aur aap bahut acchi hai thanks,5
Ugy_OtEYtlobmOpWa3Z4AaABAg,Akshita style,Itna oilðŸ™„,6
UgwOTw0fzUuy-3yrtf94AaABAg,sushma attri,Osm pratha aunty ji,2
UgydZCdaVGhIU2pTBKZ4AaABAg,My Father is a genius in these earth,Who try this please one like,6
Ugw9Bc_FktVSW8vaIt94AaABAg,Afaf Nasim,Wow apke parathe kitte kitte mast h ..wow mughe to abi khane ka mn kr rhe h....mae bi aj hi bnaungi,6
UgyhB1mrcQih8xqgauF4AaABAg,Wasila,Thank you !ðŸ˜,1
Ugx_bK1uXWs0mLuHd1J4AaABAg,Zulfikar Shaikh,"Ma'am really your all recipes are testy , i'm ur big fan , this paratha recipe also very nice.",4
Ugw4uiDJtrL4Pj9Lk094AaABAg,Upkar Kaur,Majedar bana hai Aloo paratha ðŸ‘ŒðŸ‘Œ,2
